symbol,instrument_type,security_type,market_status,total_volume,aum_size,average,change,eps,exchange,exercise_price,exercise_ratio,high,implied_volatility,inav,intrinsic_value,last,last_trading_date,low,maturity_date,moneyness,pbv,pe,percent_change,percent_yield,theoretical,to_last_trade,underlying,underlying_price,updated_at,shares_outstanding
AS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.03,6.91,NULL,0,NULL,NULL,NULL,NULL,28:36.4,
ASAP,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.03915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.22,0,NULL,0,NULL,NULL,NULL,NULL,28:38.6,
ASEFA,STOCK,CS,Open1,0,NULL,NULL,NULL,0.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.82,22.13,NULL,4.760000229,NULL,NULL,NULL,NULL,28:40.8,
ASIA,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.00682,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.28,0,NULL,5.150000095,NULL,NULL,NULL,NULL,28:43.0,
ASIAN,STOCK,CS,Open1,0,NULL,NULL,NULL,1.04214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,7.68,NULL,12.38000011,NULL,NULL,NULL,NULL,28:45.2,
ASIMAR,STOCK,CS,Open1,0,NULL,NULL,NULL,0.197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.88,7.92,NULL,7.690000057,NULL,NULL,NULL,NULL,28:47.3,
ASK,STOCK,CS,Open1,0,NULL,NULL,NULL,0.62859,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.36,11.22,NULL,4.539999962,NULL,NULL,NULL,NULL,28:49.6,
ASN,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.01253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.74,0,NULL,0,NULL,NULL,NULL,NULL,28:51.8,
ASP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.94,12.88,NULL,6.880000114,NULL,NULL,NULL,NULL,28:54.0,
ASW,STOCK,CS,Open1,0,NULL,NULL,NULL,1.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.77,4.14,NULL,0,NULL,NULL,NULL,NULL,28:56.2,
ATP30,STOCK,CS,Open1,0,NULL,NULL,NULL,0.06673,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.11,13.34,NULL,3.369999886,NULL,NULL,NULL,NULL,28:58.4,
AU,STOCK,CS,Open1,0,NULL,NULL,NULL,0.36316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.7,25.06,NULL,3.630000114,NULL,NULL,NULL,NULL,29:00.6,
AUCT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.67508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,11.11,NULL,8.930000305,NULL,NULL,NULL,NULL,29:02.8,
AURA,STOCK,CS,Open1,0,NULL,NULL,NULL,0.85069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.42,19.28,NULL,2.559999943,NULL,NULL,NULL,NULL,29:05.0,
AWC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.1828,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.02,15.98,NULL,2.569999933,NULL,NULL,NULL,NULL,29:07.2,
AXTRART,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.96,NULL,NULL,0,NULL,NULL,NULL,NULL,29:09.4,
AYUD,STOCK,CS,Open1,0,NULL,NULL,NULL,1.83614,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.87,17.43,NULL,8.029999733,NULL,NULL,NULL,NULL,29:11.6,
B,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.14,0,NULL,0,NULL,NULL,NULL,NULL,29:13.8,
B-WORK,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,NULL,NULL,14.64000034,NULL,NULL,NULL,NULL,31:34.4,
B52,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.12672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.43,0,NULL,0,NULL,NULL,NULL,NULL,29:16.0,
BA,STOCK,CS,Open1,1100,NULL,22,0.6,1.8,NULL,NULL,NULL,22,NULL,NULL,NULL,22,NULL,22,NULL,NULL,2.72,11.42,2.8,6.309999943,NULL,NULL,NULL,NULL,29:18.2,
BAFS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.96,50.2,NULL,3.700000048,NULL,NULL,NULL,NULL,29:20.6,
BAM,STOCK,CS,Open1,0,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.46,12.71,NULL,5.559999943,NULL,NULL,NULL,NULL,29:22.8,
BANPU,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.06811,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.38,0,NULL,7.010000229,NULL,NULL,NULL,NULL,29:25.0,
BAREIT,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.94,NULL,NULL,7.909999847,NULL,NULL,NULL,NULL,29:27.2,
BAY,STOCK,CS,Open1,0,NULL,NULL,NULL,4.03762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.42,5.55,NULL,3.789999962,NULL,NULL,NULL,NULL,29:29.4,
BBGI,STOCK,CS,Open1,0,NULL,NULL,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,25.14,NULL,2.670000076,NULL,NULL,NULL,NULL,29:31.6,
BBIK,STOCK,CS,Open1,0,NULL,NULL,NULL,1.50541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.16,20.76,NULL,0.699999988,NULL,NULL,NULL,NULL,29:33.8,
BBL,STOCK,CS,Pre-Open,2600,NULL,147.67308,-1,23.6851,NULL,NULL,NULL,150,NULL,NULL,NULL,146.5,NULL,146,NULL,NULL,0.5,6.19,-0.68,5.800000191,NULL,NULL,NULL,NULL,29:35.9,
BC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.0563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.89,18.68,NULL,4.949999809,NULL,NULL,NULL,NULL,29:38.1,
BCH,STOCK,CS,Open1,0,NULL,NULL,NULL,0.51423,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.06,30.92,NULL,2.519999981,NULL,NULL,NULL,NULL,29:40.3,
